hpd_name,cleaned_name,accepted_name,clade,sampling_fraction,,,ETS,ITS,matK,ndhF,psbA-trnh,rpl16,rpl32-trnl,rps16-trnq,trnl-trnf,,Reference,,campo_rupestre,non_campo_rupestre
Myrcia_subverticilaris,Myrcia_subverticilaris,Myrcia subverticilaris (O.Berg) Kiaersk.,(BAMM analysis not performed),(BAMM analysis not performed),,,JN091295,JN091244,JN091316,,JN091435,,,,,,Amorim et al. in press,,1,0
Myrcia_suffruticosa,Myrcia_suffruticosa,Myrcia suffruticosa O.Berg,(BAMM analysis not performed),(BAMM analysis not performed),,,JN091296,JN091245,,,JN091436,,,,JN091377,,Amorim et al. in press,,0,1
Myrcia_tenuifolia,Myrcia_tenuifolia,Myrcia tenuifolia (O.Berg) Sobral,(BAMM analysis not performed),(BAMM analysis not performed),,,,KU898308,,KU898365,KU898412,,,KU898522,KU898467,,Amorim et al. in press,,1,1
Myrcia_tenuivenosa,Myrcia_tenuivenosa,Myrcia tenuivenosa Kiaersk.,(BAMM analysis not performed),(BAMM analysis not performed),,,JN091297,J N091246,JN091317,KU898337,JN091437,,,KU898500,JN091378,,Amorim et al. in press,,0,1
Myrcia_tetraphylla,Myrcia_tetraphylla,Myrcia tetraphylla Sobral,(BAMM analysis not performed),(BAMM analysis not performed),,,,KP722389,,KP722467,KP722297,,,KP698773,KP722347,,Amorim et al. in press,,0,1
Myrcia_tomentosa,Myrcia_tomentosa,Myrcia tomentosa (Aubl.) DC.,(BAMM analysis not performed),(BAMM analysis not performed),,,AM489940,AM234116,,,AM489857,,,,JN091380,,Amorim et al. in press,,1,1
Myrcia_torta,Myrcia_torta,Myrcia torta DC.,(BAMM analysis not performed),(BAMM analysis not performed),,,JN091298,JN091247,JN091318,,JN091438,,,,JN091381,,Amorim et al. in press,,1,1
Myrcia_variabilis,Myrcia_variabilis,Myrcia variabilis DC.,(BAMM analysis not performed),(BAMM analysis not performed),,,JN091299,JN091248,JN091319,,JN091439,,,,JN091382,,Amorim et al. in press,,1,1
Myrcia_venulosa,Myrcia_venulosa,Myrcia venulosa DC.,(BAMM analysis not performed),(BAMM analysis not performed),,,AM489949,AM234125,,,AM489866,MK175051*,MK182517*,KU898537,JN091383,,Amorim et al. in press,,1,1
Myrcia_vestita,Myrcia_vestita,Myrcia vestita DC.,(BAMM analysis not performed),(BAMM analysis not performed),,,JN091300,JN091249,,,JN091440,,,,JN091384,,Amorim et al. in press,,1,1
Myrciaria_cuspidata,x,Myrciaria cuspidata O. Berg,(BAMM analysis not performed),(BAMM analysis not performed),,,,JQ033316,,,JQ033345,,,,,,Amorim et al. in press,,(outgroup),(outgroup)
Myrciaria_floribunda,x,Myrciaria floribunda (H.West ex Willd.) O.Berg,(BAMM analysis not performed),(BAMM analysis not performed),,,,AM234094,,,AM489870,MF954369,MF954267,KP722282,,,Amorim et al. in press,,(outgroup),(outgroup)
Myrciaria_glazioviana,x,Myrciaria glazioviana (Kiaersk.) G.M. Barroso ex Sobral,(BAMM analysis not performed),(BAMM analysis not performed),,,,MF954061,,MF954493,MF954397,MF954368,MF954266,MF954117,MF954177,,Amorim et al. in press,,(outgroup),(outgroup)
Myrciaria_vexator,x,Myrciaria vexator McVaugh,(BAMM analysis not performed),(BAMM analysis not performed),,,,MF954063,AY521544,MF954495,MF954399,MF954414,MF954268,MF954119,MF954179,,Amorim et al. in press,,(outgroup),(outgroup)
Myrtus_communis,x,Myrtus communis L.,(BAMM analysis not performed),(BAMM analysis not performed),,,AM234149,AM234149,AM490009,"KP722420,",AM489872,JN660939,MF954420,KP722221,KP722327,,Amorim et al. in press,,(outgroup),(outgroup)
Neomitranthes_cordifolia,x,Neomitranthes cordifolia (D.Legrand) D.Legrand,(BAMM analysis not performed),(BAMM analysis not performed),,,AM489413,AM489410,,,AM489569,MF954418,MF954421,JN091386,MF954123,,Amorim et al. in press,,(outgroup),(outgroup)
Plinia_cordifolia,x,Plinia cordifolia (D.Legrand) Sobral,(BAMM analysis not performed),(BAMM analysis not performed),,,,AM489411,,,AM489570,,This study,KP722219,,,Amorim et al. in press,,(outgroup),(outgroup)
Plinia_nana,x,Plinia nana Sobral,(BAMM analysis not performed),(BAMM analysis not performed),,,,MF954068,,MF954504,MF954404,MF954375,MF954237,KP722276,MF954187,,Amorim et al. in press,,(outgroup),(outgroup)
Plinia_pauciflora,x,Plinia pauciflora M.L.Kawas. & B.Holst,(BAMM analysis not performed),(BAMM analysis not performed),,,AM489414,AM489411,,,AM489570,,,,JN091388,,Amorim et al. in press,,(outgroup),(outgroup)
Plinia_sp1,x,Plinia sp1,(BAMM analysis not performed),(BAMM analysis not performed),,,,MF954069,,MF954505,MF954405,MF954376,MF954238,,MF954188,,Amorim et al. in press,,(outgroup),(outgroup)
Siphoneugena_densiflora,x,Siphoneugena densiflora O.Berg,(BAMM analysis not performed),(BAMM analysis not performed),,,AM489572,AM489412,,KP722444,AM489571,MF954383,MF954245,KP722220,JN091389,,Amorim et al. in press,,(outgroup),(outgroup)
Siphoneugena_guilfoyleana,x,Siphoneugena guilfoyleana C.Proença,(BAMM analysis not performed),(BAMM analysis not performed),,,AM489966,AM234085,AM490016,,AM490638,,,,JN091390,,Amorim et al. in press,,(outgroup),(outgroup)
Syzygium_jambos,x,Syzygium jambos (L.) Alston in H. Trimen,(BAMM analysis not performed),(BAMM analysis not performed),,,AM234135,AM234135,,,AM489882,,,,,,Amorim et al. in press,,(outgroup),(outgroup)
